Source,Amount In Crores
State's Own Tax,23200
State's Own Non-Tax,9822.93
Shared Tax,26567.56
Grants-in-Aid from Centre ,18536.22
Loans from different sources,14669.37
Provident Fund and Other Funds & Deposits (Net),1071.42
Recovery of Loans and Advances ,185.15
